Month_Index,Station 1,Station 2,Station 3,Station 4
1,0.06739999999999999,0.10620000000000006,0.004366666666666667,2.326666666666666
2,0.09519999999999998,0.16013333333333335,0.07733333333333332,2.2952999999999997
3,0.23120000000000004,0.30146666666666655,0.47109999999999996,4.362666666666668
4,0.15726666666666664,0.16063333333333332,0.0,1.893666666666667
5,0.297,0.2672666666666667,0.015300000000000001,2.2173000000000007
6,0.35193103448275875,0.14851724137931033,0.008034482758620691,2.441123097931035
7,3.1346129032258068,1.4399999999999997,0.8021612903225807,6.153064516129033
8,1.3413225806451605,0.5719032258064516,0.02887096774193548,3.4573548387096773
9,1.0273870967741932,0.2805806451612904,0.0,2.3748387096774195
10,1.0081935483870965,0.5118709677419354,0.06461290322580644,4.230000000000001
11,0.3123225806451612,0.17400000000000004,0.0,2.6586129032258063
12,0.11403225806451613,0.12200000000000005,0.0,2.148161290322581
13,0.07283333333333329,0.1363,0.0,2.4546666666666663
14,0.09900000000000002,0.11846666666666668,0.009433333333333332,2.0282
15,0.06893333333333333,0.17233333333333337,0.06656666666666666,2.2691333333333334
16,0.20960000000000004,0.21293333333333334,0.059533333333333334,4.581833333333333
17,0.2648333333333333,0.3678333333333335,0.004166666666666667,4.528666666666668
18,0.6393999999999999,0.5466333333333332,0.1163,5.4446666666666665
19,0.6367419354838709,0.5153548387096772,0.3282258064516129,5.835483870967743
20,1.2146451612903229,0.5570967741935483,0.09796774193548387,4.75516129032258
21,0.7649032258064515,0.4193870967741934,0.058387096774193556,6.396129032258064
22,0.45803225806451625,0.3181935483870966,0.02748387096774194,7.469354838709679
23,0.3270967741935484,0.16570967741935488,0.0,6.446129032258064
24,0.3945806451612904,0.6059354838709675,0.0,4.8754838709677415
25,0.22029999999999994,0.2802,0.0,3.356666666666666
26,0.20953333333333327,0.21836666666666663,0.1655,3.279699999999999
27,0.13870000000000002,0.11576666666666664,0.026233333333333334,1.4148666666666663
28,0.18063333333333328,0.18916666666666657,0.09593333333333333,6.951999999999999
29,0.35946666666666677,0.3836000000000001,0.10540000000000001,3.515866666666667
30,0.39431034482758615,0.3247586206896552,0.007068965517241381,0.433
31,0.32606451612903214,0.18922580645161285,0.017645161290322585,0.518258064516129
32,0.3821290322580643,0.14709677419354839,0.029935483870967748,1.0168064516129032
33,0.24461290322580626,0.06764516129032261,0.5112903225806451,2.14816129032258
